node.id,name,role
1,Hani Hanjour,AA77
2,Majed Moqed,AA77
3,Nawaf Alhazmi,AA77
4,Salem Alhazmi,AA77
5,Khalid Al-Mihdhar,AA77
6,Mohamed Atta,AA11
7,Waleed Alshehri,AA11
8,Wail Alshehri,AA11
9,Satam Suqami,AA11
10,Abdul Aziz Al-Omari,AA11
11,Marwan Al-Shehhi,UA175
12,Fayez Ahmed,UA175
13,Ahmed Alghamdi,UA175
14,Hamza Alghamdi,UA175
15,Mohand Alshehri,UA175
16,Ziad Jarrah,UA93
17,Ahmed Alnami,UA93
18,Ahmed Al Haznawi,UA93
19,Saeed Alghamdi,UA93
20,Abdussattar Shaikh,FBI_Informant
21,Zacarias Moussaoui,Associate
22,Mustafa Ahmed al-Hisawi,Financial_Facilitator
23,Lotfi Raissi,Wrongly_Accused
24,Said Bahaji,Associate
25,Ramzi Bin al-Shibh,Potential_Hijacker
26,Kamel Daoudi,Associate
27,Bandar Alhazmi,Associate
28,Rayed Mohammed Abdullah,Associate
29,Zakariya Essabar,Potential_Hijacker
30,Essid Sami Ben Khemais,Associate
31,Osama Awadallah,Associate
32,Tarek Maaroufi,Associate
33,Djamal Beghal,Associate
34,Jerome Courtaillier,Associate
35,David Courtaillier,Associate
36,Ahmed Ressam,Associate
37,Nabil al-Marabh,Associate
38,Raed Hijazi,Associate
39,Mamoun Darkazanli,Associate
40,Mohamed Abdi,Associate
41,Mamduh Mahmud Salim,Associate
42,Mohammed Jaweed Azmath,Associate
43,Ayub Ali Khan,Associate
44,Faisal Al Salmi,Associate
45,Nabil Almarabh,Associate
46,Karim Koubriti,Associate
47,Ahmen Hannan,Associate
48,Haydar Abu Doha,Associate
49,Mohamed Bensakhria,Associate
50,Lased Ben Heni,Associate
51,Mehdi Khammoun,Associate
52,Essoussi Laaroussi,Associate
53,Nizar Trabelsi,Associate
54,Mohammad Pervez,Associate
55,Abu Qatada,Associate
56,Usman Bandukra,Associate
57,Ahmed Khalil Ibrahim Samir Al-Ani,Associate
58,Jean-Marc Grandvisir,Associate
59,Abu Zubeida,Associate
60,Agus Budiman,Associate
61,Mohammed Belfas,Associate
62,Mounir El Motassadeq ,Associate
63,Abdelghani Mzoudi,Associate
64,Samir Kishk,Associate
65,Fahid al Shakri,Associate
66,Seifallah ben Hassine,Associate
67,Imad Eddin Barakat Yarkas,Associate
68,Abu Walid,Associate
69,Madjid Sahoune,Associate
