Name,Seniority,Status,Sex,City,Years,Age,Practice,LawSchool
V1,1,1,1,1,31,64,1,1
V2,2,1,1,1,32,62,2,1
V3,3,1,1,2,13,67,1,1
V4,4,1,1,1,31,59,2,3
V5,5,1,1,2,31,59,1,2
V6,6,1,1,2,29,55,1,1
V7,7,1,1,2,29,63,2,3
V8,8,1,1,1,28,53,1,3
V9,9,1,1,1,25,53,2,1
V10,10,1,1,1,25,53,2,3
V11,11,1,1,1,23,50,1,1
V12,12,1,1,1,24,52,2,2
V13,13,1,1,1,22,57,1,2
V14,14,1,1,2,1,56,2,1
V15,15,1,1,3,21,48,2,3
V16,16,1,1,1,20,46,2,1
V17,17,1,1,1,23,50,2,1
V18,18,1,1,2,18,45,1,2
V19,19,1,1,1,19,46,2,1
V20,20,1,1,1,19,49,1,1
V21,21,1,1,1,17,43,1,2
V22,22,1,1,1,9,49,1,3
V23,23,1,1,1,16,45,1,2
V24,24,1,1,1,15,44,1,2
V25,25,1,1,2,15,43,2,2
V26,26,1,1,1,15,41,1,3
V27,27,1,2,1,13,47,1,1
V28,28,1,1,2,11,38,2,2
V29,29,1,2,1,10,38,2,3
V30,30,1,1,2,7,39,1,3
V31,31,1,1,2,8,34,1,2
V32,32,1,1,2,8,33,1,3
V33,33,1,1,2,8,37,1,3
V34,34,1,2,1,8,36,2,2
V35,35,1,1,2,8,33,2,3
V36,36,1,1,1,5,43,1,3
V37,37,2,1,3,5,44,2,3
V38,38,2,2,1,7,53,1,2
V39,39,2,2,1,6,37,1,1
V40,40,2,1,1,6,34,1,1
V41,41,2,1,1,5,31,1,2
V42,42,2,1,1,4,31,2,2
V43,43,2,2,1,5,47,1,2
V44,44,2,2,3,5,53,2,1
V45,45,2,1,1,3,38,2,3
V46,46,2,2,2,3,42,2,2
V47,47,2,1,3,3,38,1,3
V48,48,2,2,1,1,35,2,3
V49,49,2,1,1,4,36,1,2
V50,50,2,1,2,3,31,2,2
V51,51,2,2,2,4,29,1,3
V52,52,2,1,1,4,29,1,3
V53,53,2,1,1,10,38,2,3
V54,54,2,1,1,3,29,1,3
V55,55,2,1,1,3,34,1,3
V56,56,2,1,1,3,38,1,2
V57,57,2,2,1,3,33,1,2
V58,58,2,1,2,3,33,1,3
V59,59,2,2,2,2,30,1,2
V60,60,2,2,1,2,31,2,2
V61,61,2,2,1,2,34,2,3
V62,62,2,1,1,2,32,2,2
V63,63,2,1,2,2,29,2,2
V64,64,2,2,1,2,45,2,2
V65,65,2,1,1,2,28,1,3
V66,66,2,1,1,1,43,1,3
V67,67,2,2,1,1,35,1,2
V68,68,2,1,1,1,26,1,3
V69,69,2,2,1,1,38,1,3
V70,70,2,1,1,1,31,2,2
V71,71,2,2,1,1,26,1,2
